model_1,warmth_score_1,dominance_score_1,prompt_1,model_2,warmth_score_2,dominance_score_2,prompt_2,iteration
o4-mini,,,,o4-mini,,,,1
o3,,,,o3,,,,1
o3-mini,,,,o3-mini,,,,1
o1,,,,o1,,,,1
gpt-4.1,,,,gpt-4.1,,,,1
gpt-4o,,,,gpt-4o,,,,1
gpt-4.1-mini,,,,gpt-4.1-mini,,,,1
gpt-4.1-nano,,,,gpt-4.1-nano,,,,1
gpt-4o-mini,,,,gpt-4o-mini,,,,1
gpt-3.5-turbo,,,,gpt-3.5-turbo,,,,1
gpt-4-turbo,,,,gpt-4-turbo,,,,1
gpt-4,,,,gpt-4,,,,1
claude-3-haiku-20240307,,,,claude-3-haiku-20240307,,,,1
claude-3-5-sonnet-20240620,,,,claude-3-5-sonnet-20240620,,,,1
claude-3-5-sonnet-20241022,,,,claude-3-5-sonnet-20241022,,,,1
claude-3-5-haiku-20241022,,,,claude-3-5-haiku-20241022,,,,1
claude-3-7-sonnet-20250219,,,,claude-3-7-sonnet-20250219,,,,1
claude-sonnet-4-20250514,,,,claude-sonnet-4-20250514,,,,1
claude-opus-4-20250514,,,,claude-opus-4-20250514,,,,1
gemini-1.5-pro,,,,gemini-1.5-pro,,,,1
gemini-1.5-flash-8b,,,,gemini-1.5-flash-8b,,,,1
gemini-1.5-flash,,,,gemini-1.5-flash,,,,1
gemini-2.0-flash-live-001,,,,gemini-2.0-flash-live-001,,,,1
gemini-2.0-flash-lite,,,,gemini-2.0-flash-lite,,,,1
gemini-2.0-flash,,,,gemini-2.0-flash,,,,1
gemini-2.5-flash-lite,,,,gemini-2.5-flash-lite,,,,1
gemini-2.5-flash,,,,gemini-2.5-flash,,,,1
gemini-2.5-pro,,,,gemini-2.5-pro,,,,1
o4-mini,,,,o3,,,,1
o4-mini,,,,o3-mini,,,,1
o4-mini,,,,o1,,,,1
o4-mini,,,,gpt-4.1,,,,1
o4-mini,,,,gpt-4o,,,,1
o4-mini,,,,gpt-4.1-mini,,,,1
o4-mini,,,,gpt-4.1-nano,,,,1
o4-mini,,,,gpt-4o-mini,,,,1
o4-mini,,,,gpt-3.5-turbo,,,,1
o4-mini,,,,gpt-4-turbo,,,,1
o4-mini,,,,gpt-4,,,,1
o4-mini,,,,claude-3-haiku-20240307,,,,1
o4-mini,,,,claude-3-5-sonnet-20240620,,,,1
o4-mini,,,,claude-3-5-sonnet-20241022,,,,1
o4-mini,,,,claude-3-5-haiku-20241022,,,,1
o4-mini,,,,claude-3-7-sonnet-20250219,,,,1
o4-mini,,,,claude-sonnet-4-20250514,,,,1
o4-mini,,,,claude-opus-4-20250514,,,,1
o4-mini,,,,gemini-1.5-pro,,,,1
o4-mini,,,,gemini-1.5-flash-8b,,,,1
o4-mini,,,,gemini-1.5-flash,,,,1
o4-mini,,,,gemini-2.0-flash-live-001,,,,1
o4-mini,,,,gemini-2.0-flash-lite,,,,1
o4-mini,,,,gemini-2.0-flash,,,,1
o4-mini,,,,gemini-2.5-flash-lite,,,,1
o4-mini,,,,gemini-2.5-flash,,,,1
o4-mini,,,,gemini-2.5-pro,,,,1
o3,,,,o4-mini,,,,1
o3,,,,o3-mini,,,,1
o3,,,,o1,,,,1
o3,,,,gpt-4.1,,,,1
o3,,,,gpt-4o,,,,1
o3,,,,gpt-4.1-mini,,,,1
o3,,,,gpt-4.1-nano,,,,1
o3,,,,gpt-4o-mini,,,,1
o3,,,,gpt-3.5-turbo,,,,1
o3,,,,gpt-4-turbo,,,,1
o3,,,,gpt-4,,,,1
